age,deaths,log_deaths,sex,disease,disease_code,category,sex_code
0.29926419015578,12,1.1242526766886165,Male,Certain infectious and parasitic diseases,TDU-01,Infectious,M
0.8711903068982482,14,1.1559938840979416,Female,Certain infectious and parasitic diseases,TDU-01,Infectious,F
7.449629824707898,28,1.4127574833758394,Male,Certain infectious and parasitic diseases,TDU-01,Infectious,M
7.292933779469119,28,1.4837756459197127,Male,Certain infectious and parasitic diseases,TDU-01,Infectious,M
8.161784018789135,36,1.5771097585468918,Female,Certain infectious and parasitic diseases,TDU-01,Infectious,F
7.232935190873284,36,1.6032934859834866,Female,Certain infectious and parasitic diseases,TDU-01,Infectious,F
8.531908225280675,36,1.527536411835115,Female,Certain infectious and parasitic diseases,TDU-01,Infectious,F
16.99091994753136,6,0.746491701368987,Male,Certain infectious and parasitic diseases,TDU-01,Infectious,M
22.18678758873526,10,1.0024756431632238,Male,Certain infectious and parasitic diseases,TDU-01,Infectious,M
22.391112029827386,5,0.6780929183558231,Female,Certain infectious and parasitic diseases,TDU-01,Infectious,F
27.678964631555807,18,1.2192218911685102,Male,Certain infectious and parasitic diseases,TDU-01,Infectious,M
27.167431437656347,18,1.2419086894326752,Male,Certain infectious and parasitic diseases,TDU-01,Infectious,M
27.429711974747256,9,0.9827601055786263,Female,Certain infectious and parasitic diseases,TDU-01,Infectious,F
32.019478051453376,21,1.3236427385752805,Male,Certain infectious and parasitic diseases,TDU-01,Infectious,M
32.64786331017927,21,1.276864336005919,Male,Certain infectious and parasitic diseases,TDU-01,Infectious,M
32.672071763042304,17,1.197501333747003,Female,Certain infectious and parasitic diseases,TDU-01,Infectious,F
31.804082548776446,17,1.2753374751036073,Female,Certain infectious and parasitic diseases,TDU-01,Infectious,F
38.2450112529193,55,1.77120242430589,Male,Certain infectious and parasitic diseases,TDU-01,Infectious,M
37.18738203067739,55,1.7001299008948823,Male,Certain infectious and parasitic diseases,TDU-01,Infectious,M
37.79477284241945,55,1.734377938868204,Male,Certain infectious and parasitic diseases,TDU-01,Infectious,M
36.89526117575165,23,1.3612455270287198,Female,Certain infectious and parasitic diseases,TDU-01,Infectious,F
36.75502163378435,23,1.402659876225471,Female,Certain infectious and parasitic diseases,TDU-01,Infectious,F
42.11404797056003,81,1.9247372473140478,Male,Certain infectious and parasitic diseases,TDU-01,Infectious,M
42.19873772174306,81,1.9104918209964308,Male,Certain infectious and parasitic diseases,TDU-01,Infectious,M
42.574736446949245,81,1.8769704644312024,Male,Certain infectious and parasitic diseases,TDU-01,Infectious,M
43.251335404423294,81,1.9359983012147612,Male,Certain infectious and parasitic diseases,TDU-01,Infectious,M
43.2031983065027,30,1.5166039897624273,Female,Certain infectious and parasitic diseases,TDU-01,Infectious,F
42.656639966097735,30,1.519308678221974,Female,Certain infectious and parasitic diseases,TDU-01,Infectious,F
46.84158800328307,144,2.1279607783371643,Male,Certain infectious and parasitic diseases,TDU-01,Infectious,M
46.77236366225686,144,2.140895525171576,Male,Certain infectious and parasitic diseases,TDU-01,Infectious,M
47.32188366350317,144,2.1354973952726395,Male,Certain infectious and parasitic diseases,TDU-01,Infectious,M
48.02598001464309,144,2.1440378247646086,Male,Certain infectious and parasitic diseases,TDU-01,Infectious,M
47.14949521549981,144,2.1626321004110745,Male,Certain infectious and parasitic diseases,TDU-01,Infectious,M
46.92547875995962,144,2.1885821901706537,Male,Certain infectious and parasitic diseases,TDU-01,Infectious,M
46.819281029887634,36,1.604991194427339,Female,Certain infectious and parasitic diseases,TDU-01,Infectious,F
47.935591630874654,36,1.5261740689207044,Female,Certain infectious and parasitic diseases,TDU-01,Infectious,F
46.70883538739776,36,1.5878486436127708,Female,Certain infectious and parasitic diseases,TDU-01,Infectious,F
52.83097175015619,187,2.2947423233405977,Male,Certain infectious and parasitic diseases,TDU-01,Infectious,M
52.93403255469752,187,2.229246071709908,Male,Certain infectious and parasitic diseases,TDU-01,Infectious,M
52.27354516567084,187,2.233428512489012,Male,Certain infectious and parasitic diseases,TDU-01,Infectious,M
53.08096548140095,187,2.2841714192192546,Male,Certain infectious and parasitic diseases,TDU-01,Infectious,M
52.22943683976424,187,2.2281974415651016,Male,Certain infectious and parasitic diseases,TDU-01,Infectious,M
52.19757171474506,187,2.2543599387391735,Male,Certain infectious and parasitic diseases,TDU-01,Infectious,M
52.8673698853409,102,2.0223559188974387,Female,Certain infectious and parasitic diseases,TDU-01,Infectious,F
53.119540388122125,102,2.0058216642781126,Female,Certain infectious and parasitic diseases,TDU-01,Infectious,F
51.89135079350128,102,2.029924650484217,Female,Certain infectious and parasitic diseases,TDU-01,Infectious,F
52.91725607778704,102,2.0147278915188673,Female,Certain infectious and parasitic diseases,TDU-01,Infectious,F
52.9335474879273,102,2.0079797313983567,Female,Certain infectious and parasitic diseases,TDU-01,Infectious,F
57.53637252701119,379,2.571393311803927,Male,Certain infectious and parasitic diseases,TDU-01,Infectious,M
56.74067060279055,379,2.5394283526674024,Male,Certain infectious and parasitic diseases,TDU-01,Infectious,M
56.75028669709877,379,2.5922802510944503,Male,Certain infectious and parasitic diseases,TDU-01,Infectious,M
57.20296956972212,379,2.5794962790845424,Male,Certain infectious and parasitic diseases,TDU-01,Infectious,M
58.15210635828175,379,2.5535684328829595,Male,Certain infectious and parasitic diseases,TDU-01,Infectious,M
57.356612676857004,379,2.604194323822377,Male,Certain infectious and parasitic diseases,TDU-01,Infectious,M
57.0660770647866,379,2.5363372009509515,Male,Certain infectious and parasitic diseases,TDU-01,Infectious,M
57.16360232466203,379,2.5447613386934727,Male,Certain infectious and parasitic diseases,TDU-01,Infectious,M
58.187516243748114,379,2.6094512479245138,Male,Certain infectious and parasitic diseases,TDU-01,Infectious,M
57.713446010416675,166,2.257254147058827,Female,Certain infectious and parasitic diseases,TDU-01,Infectious,F
57.985875323038584,166,2.1887650939286587,Female,Certain infectious and parasitic diseases,TDU-01,Infectious,F
58.128094397583965,166,2.22404231223162,Female,Certain infectious and parasitic diseases,TDU-01,Infectious,F
57.9919042482625,166,2.2597172180324043,Female,Certain infectious and parasitic diseases,TDU-01,Infectious,F
57.20880555995498,166,2.1811132804928226,Female,Certain infectious and parasitic diseases,TDU-01,Infectious,F
57.06469626006711,166,2.2128188669026807,Female,Certain infectious and parasitic diseases,TDU-01,Infectious,F
63.00882362547599,597,2.812047389455003,Male,Certain infectious and parasitic diseases,TDU-01,Infectious,M
61.71112340884991,597,2.7770490613871255,Male,Certain infectious and parasitic diseases,TDU-01,Infectious,M
62.36785760503805,597,2.748185112176442,Male,Certain infectious and parasitic diseases,TDU-01,Infectious,M
61.891784587733895,597,2.759735848269732,Male,Certain infectious and parasitic diseases,TDU-01,Infectious,M
63.20865552626003,597,2.7582946243314446,Male,Certain infectious and parasitic diseases,TDU-01,Infectious,M
62.530064994789385,597,2.7962762270188866,Male,Certain infectious and parasitic diseases,TDU-01,Infectious,M
62.28180736380687,597,2.823152539401465,Male,Certain infectious and parasitic diseases,TDU-01,Infectious,M
